,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
343,FL,Fort Myers-Naples FL,2021-08-31,0.0,0.0
344,FL,Fort Myers-Naples FL,2021-09-30,0.0,0.0
345,FL,Fort Myers-Naples FL,2021-10-31,0.0,0.0
346,FL,Fort Myers-Naples FL,2021-11-30,0.0,0.0
347,FL,Fort Myers-Naples FL,2021-12-31,0.0,0.0
348,FL,Jacksonville FL,2021-01-31,0.0,0.0
349,FL,Jacksonville FL,2021-02-28,0.0,0.0
350,FL,Jacksonville FL,2021-03-31,0.0,0.0
351,FL,Jacksonville FL,2021-04-30,0.0,0.0
352,FL,Jacksonville FL,2021-05-31,0.0,0.0
353,FL,Jacksonville FL,2021-06-30,0.0,0.0
354,FL,Jacksonville FL,2021-07-31,0.0,0.0
355,FL,Jacksonville FL,2021-08-31,0.0,0.0
356,FL,Jacksonville FL,2021-09-30,0.0,0.0
357,FL,Jacksonville FL,2021-10-31,0.0,0.0
358,FL,Jacksonville FL,2021-11-30,0.0,0.0
359,FL,Jacksonville FL,2021-12-31,0.0,0.0
360,FL,Miami-Fort Lauderdale FL,2021-01-31,0.0,0.0
361,FL,Miami-Fort Lauderdale FL,2021-02-28,0.0,0.0
362,FL,Miami-Fort Lauderdale FL,2021-03-31,0.0,0.0
363,FL,Miami-Fort Lauderdale FL,2021-04-30,0.0,0.0
364,FL,Miami-Fort Lauderdale FL,2021-05-31,0.0,0.0
365,FL,Miami-Fort Lauderdale FL,2021-06-30,0.0,0.0
366,FL,Miami-Fort Lauderdale FL,2021-07-31,0.0,0.0
367,FL,Miami-Fort Lauderdale FL,2021-08-31,0.0,0.0
368,FL,Miami-Fort Lauderdale FL,2021-09-30,0.0,0.0
369,FL,Miami-Fort Lauderdale FL,2021-10-31,0.0,0.0
370,FL,Miami-Fort Lauderdale FL,2021-11-30,0.0,0.0
371,FL,Miami-Fort Lauderdale FL,2021-12-31,0.0,0.0
372,FL,Orlando FL,2021-01-31,0.0,0.0
373,FL,Orlando FL,2021-02-28,0.0,0.0
374,FL,Orlando FL,2021-03-31,0.0,0.0
375,FL,Orlando FL,2021-04-30,0.0,0.0
376,FL,Orlando FL,2021-05-31,0.0,0.0
377,FL,Orlando FL,2021-06-30,0.0,0.0
378,FL,Orlando FL,2021-07-31,0.0,0.0
379,FL,Orlando FL,2021-08-31,0.0,0.0
380,FL,Orlando FL,2021-09-30,0.0,0.0
381,FL,Orlando FL,2021-10-31,0.0,0.0
382,FL,Orlando FL,2021-11-30,0.0,0.0
383,FL,Orlando FL,2021-12-31,0.0,0.0
384,FL,Other FL,2021-01-31,0.0,0.0
385,FL,Other FL,2021-02-28,0.0,0.0
386,FL,Other FL,2021-03-31,0.0,0.0
387,FL,Other FL,2021-04-30,0.0,0.0
388,FL,Other FL,2021-05-31,0.0,0.0
389,FL,Other FL,2021-06-30,0.0,0.0
390,FL,Other FL,2021-07-31,0.0,0.0
391,FL,Other FL,2021-08-31,0.0,0.0
392,FL,Other FL,2021-09-30,0.0,0.0
393,FL,Other FL,2021-10-31,0.0,0.0
394,FL,Other FL,2021-11-30,0.0,0.0
395,FL,Other FL,2021-12-31,0.0,0.0
396,FL,Tampa-St Petersburg FL,2021-01-31,0.0,0.0
397,FL,Tampa-St Petersburg FL,2021-02-28,0.0,0.0
398,FL,Tampa-St Petersburg FL,2021-03-31,0.0,0.0
399,FL,Tampa-St Petersburg FL,2021-04-30,0.0,0.0
400,FL,Tampa-St Petersburg FL,2021-05-31,0.0,0.0
401,FL,Tampa-St Petersburg FL,2021-06-30,0.0,0.0
402,FL,Tampa-St Petersburg FL,2021-07-31,0.0,0.0
403,FL,Tampa-St Petersburg FL,2021-08-31,0.0,0.0
404,FL,Tampa-St Petersburg FL,2021-09-30,0.0,0.0
405,FL,Tampa-St Petersburg FL,2021-10-31,0.0,0.0
406,FL,Tampa-St Petersburg FL,2021-11-30,0.0,0.0
407,FL,Tampa-St Petersburg FL,2021-12-31,0.0,0.0
408,FL,West Palm Beach-Boca Raton FL,2021-01-31,0.0,0.0
409,FL,West Palm Beach-Boca Raton FL,2021-02-28,0.0,0.0
410,FL,West Palm Beach-Boca Raton FL,2021-03-31,0.0,0.0
